Iteration,Adder,Approximate_Adder_Num,Criticality_ID,Slack,Total_Power,Combinational_Power
5,ZHU,321,2,0.000167,0.090003,0.001203
5,ZHU,241,2,0.000167,0.090180,0.001280
5,ZHU,1,5,0.000167,0.089981,0.001181
5,ZHU,361,5,0.000167,0.089850,0.001448
5,8A,441,1,0.000932,0.089826,0.001424
5,ZHU,161,1,0.000167,0.090048,0.001448
5,6B,1,5,0.000492,0.089664,0.000864
5,ZHU,81,4,0.000167,0.089962,0.001262
5,ZHU,281,3,0.000167,0.090101,0.001201
5,ZHU4,281,1,0.000492,0.089737,0.000937
5,6B,41,5,0.000492,0.089593,0.000967
5,ZHU,201,5,0.000167,0.090174,0.001374
5,6B,41,3,0.000492,0.089592,0.000990
5,4B,121,4,0.000079,0.089825,0.001225
5,4B,1,2,0.000079,0.089465,0.000765
5,4B,321,1,0.000079,0.089521,0.000821
5,6B,281,4,0.000492,0.089737,0.000937
5,ZHU,201,2,0.000167,0.090174,0.001374
5,6B,81,4,0.000492,0.089558,0.000958
5,ZHU,241,1,0.000167,0.090180,0.001280
5,8A,161,2,0.000932,0.089970,0.001368
5,ZHU4,321,1,0.000492,0.089681,0.000881
5,ZHU,41,4,0.000167,0.089971,0.001271
5,ETAIIM,81,2,0.000784,0.089637,0.000937
5,ZHU,321,6,0.000167,0.090000,0.001206
5,6B,161,2,0.000492,0.089577,0.001077
5,ZHU,441,6,0.000167,0.089654,0.001454
5,4B,41,1,0.000079,0.089560,0.000860
5,6B,361,4,0.000492,0.089408,0.001008
5,ZHU,361,1,0.000167,0.089848,0.001446
5,ZHU,441,2,0.000167,0.089654,0.001454
5,ZHU,401,4,0.000167,0.089759,0.001457
5,ZHU4,1,1,0.000492,0.089664,0.000864
5,ZHU,441,3,0.000167,0.089654,0.001454
5,8A,121,2,0.000932,0.089945,0.001345
5,ZHU,441,5,0.000167,0.089654,0.001454
5,ZHU,81,6,0.000167,0.089960,0.001304
5,ZHU,1,1,0.000167,0.089981,0.001181
5,4B,81,4,0.000079,0.089616,0.000916
5,4B,441,6,0.000079,0.089672,0.001172
5,8A,81,4,0.000932,0.089845,0.001145
5,ZHU,81,5,0.000167,0.089960,0.001308
5,ZHU,121,6,0.000167,0.089916,0.001414
5,ZHU,121,5,0.000167,0.089916,0.001416
5,8A,321,1,0.000932,0.089712,0.001012
5,ZHU,281,6,0.000167,0.090101,0.001201
5,ZHU,281,5,0.000167,0.090101,0.001201
5,ZHU,401,1,0.000167,0.089769,0.001467
5,ZHU,201,6,0.000167,0.090174,0.001374
5,ETAIIM,441,2,0.000784,0.089636,0.001216
5,4B,41,3,0.000079,0.089570,0.000870
5,ZHU4,1,2,0.000492,0.089664,0.000864
5,ZHU4,41,2,0.000492,0.089595,0.000949
5,6B,41,2,0.000492,0.089594,0.000972
5,ZHU,241,3,0.000167,0.090180,0.001280
5,ZHU,401,3,0.000167,0.089769,0.001467
5,8A,41,6,0.000932,0.089796,0.001096
5,4B,41,5,0.000079,0.089567,0.000867
5,ZHU,201,1,0.000167,0.090174,0.001374
5,ZHU4,401,1,0.000492,0.089353,0.001053
5,ZHU,281,4,0.000167,0.090101,0.001201
5,ZHU,81,2,0.000167,0.089961,0.001261
5,ZHU4,41,4,0.000492,0.089596,0.000912
5,ZHU4,41,5,0.000492,0.089593,0.000959
5,ZHU,161,4,0.000167,0.090048,0.001448
5,ZHU,81,1,0.000167,0.089961,0.001267
5,8A,41,2,0.000932,0.089796,0.001096
5,6B,41,6,0.000492,0.089594,0.000960
5,8A,281,5,0.000932,0.089874,0.001074
5,4B,41,2,0.000079,0.089566,0.000866
5,ZHU4,241,4,0.000492,0.089768,0.000968
5,ETAIIM,241,1,0.000784,0.089871,0.000971
