Iteration,Adder,Approximate_Adder_Num,Criticality_ID,Slack,Total_Power,Combinational_Power
5,ZHU,321,2,0.000167,99.8028,81.9525
5,ZHU,241,2,0.000167,100.0000,87.2547
5,ZHU,1,5,0.000167,99.7787,80.4671
5,ZHU,361,5,0.000167,99.6339,98.6911
5,8A,441,1,0.000932,99.6068,97.0275
5,ZHU,161,1,0.000167,99.8537,98.7098
5,6B,1,5,0.000492,99.4272,58.8695
5,ZHU,81,4,0.000167,99.7576,85.9887
5,ZHU,281,3,0.000167,99.9121,81.8514
5,ZHU4,281,1,0.000492,99.5078,63.8235
5,6B,41,5,0.000492,99.3485,65.8911
5,ZHU,201,5,0.000167,99.9924,93.6045
5,6B,41,3,0.000492,99.3473,67.4524
5,4B,121,4,0.000079,99.6063,83.5011
5,4B,1,2,0.000079,99.2073,52.1653
5,4B,321,1,0.000079,99.2685,55.9300
5,6B,281,4,0.000492,99.5080,63.8310
5,ZHU,201,2,0.000167,99.9926,93.6149
5,6B,81,4,0.000492,99.3095,65.2640
5,ZHU,241,1,0.000167,99.9997,87.2361
5,8A,161,2,0.000932,99.7662,93.1937
5,ZHU4,321,1,0.000492,99.4464,60.0463
5,ZHU,41,4,0.000167,99.7674,86.5908
5,ETAIIM,81,2,0.000784,99.3970,63.8286
5,ZHU,321,6,0.000167,99.8002,82.1972
5,6B,161,2,0.000492,99.3307,73.3841
5,ZHU,441,6,0.000167,99.4165,99.1015
5,4B,41,1,0.000079,99.3120,58.6020
5,6B,361,4,0.000492,99.1430,68.6597
5,ZHU,361,1,0.000167,99.6317,98.5600
5,ZHU,441,2,0.000167,99.4165,99.1015
5,ZHU,401,4,0.000167,99.5325,99.2759
5,ZHU4,1,1,0.000492,99.4273,58.8714
5,ZHU,441,3,0.000167,99.4165,99.1015
5,8A,121,2,0.000932,99.7387,91.6383
5,ZHU,441,5,0.000167,99.4165,99.1015
5,ZHU,81,6,0.000167,99.7558,88.8779
5,ZHU,1,1,0.000167,99.7786,80.4619
5,4B,81,4,0.000079,99.3744,62.4385
5,4B,441,6,0.000079,99.4363,79.8726
5,8A,81,4,0.000932,99.6276,77.9983
5,ZHU,81,5,0.000167,99.7559,89.1535
5,ZHU,121,6,0.000167,99.7073,96.3877
5,ZHU,121,5,0.000167,99.7064,96.4707
5,8A,321,1,0.000932,99.4809,68.9854
5,ZHU,281,6,0.000167,99.9122,81.8616
5,ZHU,281,5,0.000167,99.9121,81.8504
5,ZHU,401,1,0.000167,99.5443,99.9992
5,ZHU,201,6,0.000167,99.9925,93.6078
5,ETAIIM,441,2,0.000784,99.3966,82.8811
5,4B,41,3,0.000079,99.3234,59.3032
5,ZHU4,1,2,0.000492,99.4273,58.8723
5,ZHU4,41,2,0.000492,99.3505,64.6514
5,6B,41,2,0.000492,99.3495,66.2237
5,ZHU,241,3,0.000167,99.9998,87.2410
5,ZHU,401,3,0.000167,99.5443,100.0000
5,8A,41,6,0.000932,99.5742,74.7187
5,4B,41,5,0.000079,99.3193,59.0512
5,ZHU,201,1,0.000167,99.9925,93.6058
5,ZHU4,401,1,0.000492,99.0827,71.7709
5,ZHU,281,4,0.000167,99.9123,81.8657
5,ZHU,81,2,0.000167,99.7563,85.9100
5,ZHU4,41,4,0.000492,99.3522,62.1655
5,ZHU4,41,5,0.000492,99.3488,65.3634
5,ZHU,161,4,0.000167,99.8535,98.6951
5,ZHU,81,1,0.000167,99.7567,86.3407
5,8A,41,2,0.000932,99.5733,74.6598
5,6B,41,6,0.000492,99.3498,65.4209
5,8A,281,5,0.000932,99.6599,73.1660
5,4B,41,2,0.000079,99.3182,58.9840
5,ZHU4,241,4,0.000492,99.5430,65.9822
5,ETAIIM,241,1,0.000784,99.6565,66.1452
5,ZHU,1,4,0.000167,99.7787,80.4722
5,4B,241,2,0.000079,99.6834,67.7949
5,ZHU,161,3,0.000167,99.8536,98.7008
5,ZHU,41,3,0.000167,99.7665,86.5321
5,ZHU4,121,4,0.000492,99.1654,71.6746
5,ETAIIM,441,6,0.000784,99.3966,82.8811
5,ZHU,361,4,0.000167,99.6220,97.9640
5,ZHU,121,3,0.000167,99.7062,96.4605
5,6B,41,1,0.000492,99.3532,61.1325
5,ETAIIM,41,1,0.000784,99.3245,59.3719
5,ZHU,281,1,0.000167,99.9122,81.8583
5,ZHU,401,5,0.000167,99.5411,99.8037
5,6B,441,1,0.000492,98.9688,71.5830
5,ZHU,41,6,0.000167,99.7670,86.5652
5,ETAIIM,441,5,0.000784,99.3966,82.8811
5,ZHU,321,3,0.000167,99.8028,81.9486
5,ETAIIM,1,1,0.000784,99.2357,53.9138
5,8A,41,3,0.000932,99.5766,74.8614
5,ZHU,1,3,0.000167,99.7787,80.4722
5,ZHU4,441,6,0.000492,98.9680,71.5356
5,6B,121,4,0.000492,99.1641,72.5497
5,6B,321,4,0.000492,99.4466,60.0586
5,ZHU,41,5,0.000167,99.7671,86.5711
5,ETAIIM,281,4,0.000784,99.4524,60.4172
5,ZHU,361,2,0.000167,99.6253,98.1626
5,ZHU,401,6,0.000167,99.5381,99.6211
5,6B,201,2,0.000492,99.4876,69.3911
5,ZHU,321,1,0.000167,99.8029,81.9554
5,ZHU,121,1,0.000167,99.7062,96.4605
5,ZHU4,161,2,0.000492,99.3323,73.4803
5,ZHU4,41,3,0.000492,99.3475,67.4602
5,6B,241,4,0.000492,99.5434,66.0059
5,ZHU,121,2,0.000167,99.7065,96.4748
5,ZHU4,361,1,0.000492,99.1506,69.1298
5,ETAIIM,441,3,0.000784,99.3966,82.8811
5,ZHU,361,6,0.000167,99.6318,96.7903
5,6B,401,4,0.000492,99.0731,71.1793
5,8A,201,2,0.000932,99.8884,87.2102
5,8A,361,5,0.000932,99.7006,89.2993
5,ETAIIM,441,4,0.000784,99.3966,82.8811
5,ZHU,241,5,0.000167,99.9999,87.2483
5,ZHU,201,4,0.000167,99.9925,93.6099
5,8A,241,5,0.000932,99.8334,83.6917
5,ZHU,401,2,0.000167,99.5353,99.4484
5,ZHU,161,2,0.000167,99.8535,98.6984
