Iteration,Adder,Approximate_Adder_Num,Criticality_ID,Slack,Total_Power,Combinational_Power
5,ZHU,321,2,0.000498,0.120473,0.032539
5,ZHU,241,2,0.000498,0.120594,0.032678
5,ZHU,1,5,0.000498,0.120717,0.032819
5,ZHU,361,5,0.000498,0.120428,0.032486
5,8A,441,1,0.000048,0.122749,0.034849
5,ZHU,161,1,0.000498,0.120643,0.032739
5,6B,1,5,0.000021,0.120470,0.032576
5,ZHU,81,4,0.000498,0.120689,0.032791
5,ZHU,281,3,0.000498,0.120531,0.032597
5,ZHU4,281,1,0.000559,0.120512,0.032588
5,6B,41,5,0.000021,0.120646,0.032752
5,ZHU,201,5,0.000498,0.120623,0.032719
5,6B,41,3,0.000021,0.120633,0.032739
5,4B,121,4,0.000204,0.120571,0.032671
5,4B,1,2,0.000204,0.119714,0.031818
5,4B,321,1,0.000204,0.121674,0.033774
5,6B,281,4,0.000021,0.121467,0.033567
5,ZHU,201,2,0.000498,0.120622,0.032716
5,6B,81,4,0.000021,0.120789,0.032893
5,ZHU,241,1,0.000498,0.120584,0.032664
5,8A,161,2,0.000048,0.121165,0.033265
5,ZHU4,321,1,0.000559,0.120467,0.032539
5,ZHU,41,4,0.000498,0.120704,0.032806
5,ETAIIM,81,2,0.000020,0.119694,0.031796
5,ZHU,321,6,0.000498,0.120480,0.032544
5,6B,161,2,0.000021,0.121097,0.033199
5,ZHU,441,6,0.000498,0.120337,0.032377
5,4B,41,1,0.000204,0.120090,0.032190
5,6B,361,4,0.000021,0.121689,0.033789
5,ZHU,361,1,0.000498,0.120427,0.032487
5,ZHU,441,2,0.000498,0.120337,0.032377
5,ZHU,401,4,0.000498,0.120379,0.032425
5,ZHU4,1,1,0.000559,0.120621,0.032727
5,ZHU,441,3,0.000498,0.120337,0.032377
5,8A,121,2,0.000048,0.120922,0.033022
5,ZHU,441,5,0.000498,0.120337,0.032377
5,ZHU,81,6,0.000498,0.120687,0.032789
5,ZHU,1,1,0.000498,0.120717,0.032819
5,4B,81,4,0.000204,0.120352,0.032452
5,4B,441,6,0.000204,0.122380,0.034480
5,8A,81,4,0.000048,0.120707,0.032807
5,ZHU,81,5,0.000498,0.120687,0.032789
5,ZHU,121,6,0.000498,0.120669,0.032771
5,ZHU,121,5,0.000498,0.120664,0.032766
5,8A,321,1,0.000048,0.122166,0.034266
5,ZHU,281,6,0.000498,0.120535,0.032601
5,ZHU,281,5,0.000498,0.120524,0.032590
5,ZHU,401,1,0.000498,0.120381,0.032429
5,ZHU,201,6,0.000498,0.120625,0.032717
5,ETAIIM,441,2,0.000020,0.120037,0.032139
5,4B,41,3,0.000204,0.120065,0.032165
5,ZHU4,1,2,0.000559,0.120622,0.032728
5,ZHU4,41,2,0.000559,0.120618,0.032724
5,6B,41,2,0.000021,0.120641,0.032747
5,ZHU,241,3,0.000498,0.120588,0.032668
5,ZHU,401,3,0.000498,0.120378,0.032428
5,8A,41,6,0.000048,0.120473,0.032573
5,4B,41,5,0.000204,0.120093,0.032193
5,ZHU,201,1,0.000498,0.120621,0.032715
5,ZHU4,401,1,0.000559,0.120402,0.032454
5,ZHU,281,4,0.000498,0.120528,0.032596
5,ZHU,81,2,0.000498,0.120689,0.032791
5,ZHU4,41,4,0.000559,0.120617,0.032723
5,ZHU4,41,5,0.000559,0.120616,0.032722
5,ZHU,161,4,0.000498,0.120644,0.032744
5,ZHU,81,1,0.000498,0.120687,0.032789
5,8A,41,2,0.000048,0.120487,0.032587
5,6B,41,6,0.000021,0.120630,0.032736
5,8A,281,5,0.000048,0.121976,0.034076
5,4B,41,2,0.000204,0.120078,0.032178
5,ZHU4,241,4,0.000559,0.120546,0.032636
5,ETAIIM,241,1,0.000020,0.119974,0.032076
5,ZHU,1,4,0.000498,0.120718,0.032820
5,4B,241,2,0.000204,0.121221,0.033321
5,ZHU,161,3,0.000498,0.120650,0.032746
5,ZHU,41,3,0.000498,0.120705,0.032807
5,ZHU4,121,4,0.000559,0.120602,0.032706
5,ETAIIM,441,6,0.000020,0.120037,0.032139
5,ZHU,361,4,0.000498,0.120426,0.032488
5,ZHU,121,3,0.000498,0.120671,0.032771
5,6B,41,1,0.000021,0.120646,0.032752
5,ETAIIM,41,1,0.000020,0.119635,0.031737
5,ZHU,281,1,0.000498,0.120524,0.032589
5,ZHU,401,5,0.000498,0.120377,0.032425
5,6B,441,1,0.000021,0.121945,0.034046
5,ZHU,41,6,0.000498,0.120704,0.032806
5,ETAIIM,441,5,0.000020,0.120037,0.032139
5,ZHU,321,3,0.000498,0.120473,0.032535
5,ETAIIM,1,1,0.000020,0.119570,0.031672
5,8A,41,3,0.000048,0.120484,0.032586
5,ZHU,1,3,0.000498,0.120718,0.032820
5,ZHU4,441,6,0.000559,0.120370,0.032406
5,6B,121,4,0.000021,0.120929,0.033033
5,6B,321,4,0.000021,0.121572,0.033672
5,ZHU,41,5,0.000498,0.120701,0.032803
5,ETAIIM,281,4,0.000020,0.119998,0.032098
5,ZHU,361,2,0.000498,0.120424,0.032486
5,ZHU,401,6,0.000498,0.120385,0.032431
5,6B,201,2,0.000021,0.121245,0.033345
5,ZHU,321,1,0.000498,0.120472,0.032538
5,ZHU,121,1,0.000498,0.120665,0.032767
5,ZHU4,161,2,0.000559,0.120594,0.032698
5,ZHU4,41,3,0.000559,0.120618,0.032724
5,6B,241,4,0.000021,0.121367,0.033467
5,ZHU,121,2,0.000498,0.120672,0.032774
5,ZHU4,361,1,0.000559,0.120435,0.032499
5,ETAIIM,441,3,0.000020,0.120037,0.032139
5,ZHU,361,6,0.000498,0.120430,0.032488
5,6B,401,4,0.000021,0.121813,0.033913
5,8A,201,2,0.000048,0.121439,0.033539
5,8A,361,5,0.000048,0.122349,0.034448
5,ETAIIM,441,4,0.000020,0.120037,0.032139
5,ZHU,241,5,0.000498,0.120583,0.032669
5,ZHU,201,4,0.000498,0.120622,0.032718
5,8A,241,5,0.000048,0.121694,0.033794
5,ZHU,401,2,0.000498,0.120378,0.032428
5,ZHU,161,2,0.000498,0.120646,0.032744
5,ETAIIM,121,2,0.000020,0.119738,0.031840
5,ZHU,241,6,0.000498,0.120591,0.032675
5,ETAIIM,401,2,0.000020,0.120029,0.032131
5,ZHU,441,1,0.000498,0.120337,0.032377
5,ETAIIM,441,1,0.000020,0.120037,0.032139
5,4B,401,6,0.000204,0.122131,0.034231
5,6B,41,4,0.000021,0.120641,0.032746
5,8A,41,4,0.000048,0.120492,0.032594
5,8A,41,5,0.000048,0.120494,0.032594
5,ZHU,441,4,0.000498,0.120337,0.032377
5,ZHU,161,6,0.000498,0.120646,0.032744
5,ZHU,161,5,0.000498,0.120641,0.032737
5,ZHU,281,2,0.000498,0.120531,0.032597
5,ZHU,361,3,0.000498,0.120428,0.032488
5,8A,41,1,0.000048,0.120501,0.032601
5,ZHU,321,5,0.000498,0.120472,0.032538
5,4B,281,2,0.000204,0.121434,0.033534
5,ZHU4,81,4,0.000559,0.120611,0.032717
5,ZHU,121,4,0.000498,0.120671,0.032773
5,ETAIIM,321,2,0.000020,0.119984,0.032084
5,4B,41,4,0.000204,0.120068,0.032168
5,8A,1,5,0.000048,0.120210,0.032312
5,ZHU,201,3,0.000498,0.120627,0.032717
5,4B,41,6,0.000204,0.120042,0.032142
